Tweet,URL,Date
@FrancescoCiull4 @BhosalePratim Whoa! I believe this gonna be the first live appearance of Pratim.,https://twitter.com/Prathkum/status/1476637175085101067,2021-12-30 19:31:51+00:00
Don't get overwhelmed by all those Web 3.0 tweets. Web 2 is not getting outdated anytime soon. Start with it and make $100K per annum.,https://twitter.com/Prathkum/status/1476636087657189384,2021-12-30 19:27:32+00:00
"@FrancescoCiull4 Thanks!

I’m writing down 5 good tips before start posting and this tip is the first one on my list.",https://twitter.com/Prathkum/status/1476448886294077442,2021-12-30 07:03:40+00:00
What tips would you give to someone who is looking to get started on YouTube?,https://twitter.com/Prathkum/status/1476447252214259712,2021-12-30 06:57:10+00:00
@frontenddude Similarly JavaScript can lift you up.,https://twitter.com/Prathkum/status/1476445142768775168,2021-12-30 06:48:47+00:00
@rishabhbansal97 @delhi @adityaoberai1 @ankitatr_ @HowDevelop @khushiSharma_22 @saphalinsaan @kundraSarthak I missed! ☹️,https://twitter.com/Prathkum/status/1476259161591537664,2021-12-29 18:29:46+00:00
@MaedahBatool Happy new year in advance. 🥳,https://twitter.com/Prathkum/status/1476244975192924164,2021-12-29 17:33:24+00:00
"Damn! Less than 700 more to go to hit 150K followers before the end of 2021.

Attaching this CSS alignment cheat sheet to give you an idea of what kind of content I'm posting here. 😉

Follow me for more web development related threads. ❤️ https://t.co/EwTAtcprM9",https://twitter.com/Prathkum/status/1476235303891320834,2021-12-29 16:54:58+00:00
"In those days my family did not even have money to pay my university fees. Will not glorify myself but now I can earn this much in 5 days.

Days turn around!",https://twitter.com/Prathkum/status/1475686246710083586,2021-12-28 04:33:12+00:00
@hewhodevs Looks super clean! I also need to add some cool images behind.,https://twitter.com/Prathkum/status/1475481052881702921,2021-12-27 14:57:50+00:00
"I brought you the two amazing giveaways on this christmas. 🎅

🔹 NodeCLI course (https://t.co/CFGIjbjFyB) ⚡
🔹 VSCode Power User (https://t.co/iyW4Fnj9LV) ⚡

I'll pick two random winners on New Year.

Steps to participate 👇

1️⃣ Like and Retweet
2️⃣ Follow author @MrAhmadAwais",https://twitter.com/Prathkum/status/1475466812091424772,2021-12-27 14:01:15+00:00
@Aakriiti_Sharma Lol no! 😂,https://twitter.com/Prathkum/status/1475452818534252544,2021-12-27 13:05:39+00:00
@oraysercan Minimal ✨,https://twitter.com/Prathkum/status/1475443054806925314,2021-12-27 12:26:51+00:00
@Yash50211618 One laptop is enough. 😁,https://twitter.com/Prathkum/status/1475442415116840962,2021-12-27 12:24:18+00:00
@designermaybe I started with this keyboard. https://t.co/NbJ99DLHwa,https://twitter.com/Prathkum/status/1475441109182533633,2021-12-27 12:19:07+00:00
@joydeep1729 Blue,https://twitter.com/Prathkum/status/1475440838058536960,2021-12-27 12:18:02+00:00
@csaba_kissi I like this desk plant.,https://twitter.com/Prathkum/status/1475440705732415489,2021-12-27 12:17:31+00:00
"@DeepanjaliPande Haha! 🤣🤣

I’m literally laughing.",https://twitter.com/Prathkum/status/1475439828208521218,2021-12-27 12:14:02+00:00
@rajkbnp Just shared a post.,https://twitter.com/Prathkum/status/1475439676185923587,2021-12-27 12:13:25+00:00
"Aesthetic vibes 🌈

Share your setup below. https://t.co/dV1u70I1jN",https://twitter.com/Prathkum/status/1475439366508105738,2021-12-27 12:12:11+00:00
@HasarWAli Just there for fun! It’s extra,https://twitter.com/Prathkum/status/1475345824036966407,2021-12-27 06:00:29+00:00
"@camdlc14 It’s Carpio 2.0 by Delta Hub

https://t.co/P0hyfG6YRS",https://twitter.com/Prathkum/status/1475345476442464256,2021-12-27 05:59:06+00:00
@aniketnofficial This pic should be enough to motivate someone. I got motivated too last year.,https://twitter.com/Prathkum/status/1475339311755104261,2021-12-27 05:34:37+00:00
@Sarvesh12601156 Thank you!,https://twitter.com/Prathkum/status/1475338959270002699,2021-12-27 05:33:13+00:00
Thank you 2021 ❤️ https://t.co/2cMiPuGL2R,https://twitter.com/Prathkum/status/1475338199975088133,2021-12-27 05:30:11+00:00
"@NirmalyaGhosh_ Pro tip, Nirmalya! 🚀",https://twitter.com/Prathkum/status/1475186316606246913,2021-12-26 19:26:40+00:00
@Insharamin https://t.co/QVpmUiOdWH,https://twitter.com/Prathkum/status/1475109529566138370,2021-12-26 14:21:32+00:00
@jsbisht_ They are inversely proportional. 😁,https://twitter.com/Prathkum/status/1475089171286953985,2021-12-26 13:00:38+00:00
"@web_dev_dan If that were the case, I would have millions of followers now. 😂",https://twitter.com/Prathkum/status/1475088828146749442,2021-12-26 12:59:17+00:00
@codewithirfan Acer ED320QR 165Hz 😉,https://twitter.com/Prathkum/status/1475087805176975360,2021-12-26 12:55:13+00:00
